name,party,district,crucial_vote_score,overall_score
"Upton, Fred",R,MI-6,12.01,14.16
"Van Drew, Jeff",R,NJ-2,11.83,55.24
"Buck, Ken",R,CO-4,10.25,4.05
"Davidson, Warren",R,OH-8,10.11,4.20
"Mast, Brian",R,FL-18,9.01,9.74
"Perry, Scott",R,PA-10,8.89,3.87
"Posey, Bill",R,FL-8,8.87,6.05
"Herrera Beutler, Jaime",R,WA-3,8.78,9.97
"Gaetz, Matt",R,FL-1,8.76,7.59
"Davis, Rodney",R,IL-13,8.76,10.38
"Schweikert, Dave",R,AZ-6,8.72,4.82
"Roy, Chip",R,TX-21,8.65,7.11
"Zeldin, Lee",R,NY-1,8.59,8.26
"Meijer, Peter",R,MI-3,8.33,15.32
"Fortenberry, Jeff",R,NE-1,8.25,11.93
"Mace, Nancy",R,SC-1,8.25,12.71
"Brooks, Mo",R,AL-5,8.04,4.79
"Gosar, Paul",R,AZ-4,7.67,4.65
"Mooney, Alex",R,WV-2,7.54,4.15
"Gonzalez, Anthony",R,OH-16,7.53,15.27
"Diaz-Balart, Mario",R,FL-25,7.36,11.43
"Buchanan, Vern",R,FL-16,7.25,8.86
"Harris, Andy",R,MD-1,7.13,4.22
"Gohmert, Louie",R,TX-1,7.04,4.98
"Steil, Bryan",R,WI-1,6.95,8.18
"Grothman, Glenn",R,WI-6,6.85,3.38
"Joyce, David",R,OH-14,6.82,10.15
"Reed, Tom",R,NY-23,6.70,10.76
"Comer, James",R,KY-1,6.57,2.82
"Taylor, Van",R,TX-3,6.45,4.07
"Burchett, Tim",R,TN-2,6.42,4.00
"McKinley, David",R,WV-1,6.33,8.71
"Gonzales, Tony",R,TX-23,6.19,10.17
"Kim, Young",R,CA-39,6.19,13.25
"Young, Don",R,AK-AL,6.16,11.01
